"","source","Acronym","Meaning","Definition","meaning_lower","n","duplicated_ac","duplicated_mean"
"451",NA,"MITT","Mariana Islands Training and Testing",NA,"mariana islands training and testing",NA,NA,NA
"452",NA,"MMA","Marine Managed Area",NA,"marine managed area",NA,NA,NA
"453","PFMC","MMPA","Marine Mammal Protection Act","The MMPA prohibits the harvest or harassment of marine mammals, although permits for incidental take of marine mammals while commercial fishing may be issued subject to regulation. (See ""incidental take"" for a definition of ""take"").","marine mammal protection act",NA,NA,NA
"454","ASMFC","MOA","Memorandum of Agreement","A document written between parties to cooperatively work together on an agreed upon project or meet an agreed upon objective. The purpose of an MOA is to have a written understanding of the agreement between parties. The MOA can also be a legal document that is binding and hold the parties responsible to their commitment or just a partnership agreement.","memorandum of agreement",NA,NA,NA
"455",NA,"MODIS","Moderate Resolution Imaging Spectroradiometer",NA,"moderate resolution imaging spectroradiometer",NA,NA,NA
"456","ASMFC","MOU","Memorandum of Understanding","A document describing a bilateral or multilateral agreement between parties. It expresses a convergence of will between the parties, indicating an intended common line of action. It most often is used in cases where parties do not intend to imply a legal commitment. It is a more formal alternative to a gentlemen's agreement.","memorandum of understanding",NA,NA,NA
"457",NA,"MPA","marine protected area",NA,"marine protected area",NA,NA,NA
"458",NA,"MPCC","Marine Planning and Climate Change",NA,"marine planning and climate change",NA,NA,NA
"459",NA,"MPCCC","Marine Planning and Climate Change Committee",NA,"marine planning and climate change committee",NA,NA,NA
"460",NA,"MRA","Maximum retainable allowance",NA,"maximum retainable allowance",NA,NA,NA
"461",NA,"MREP","Marine Resource Education Program",NA,"marine resource education program",NA,NA,NA
"462","PFMC","MRFSS","Marine Recreational Fisheries Statistics Survey","A national survey conducted by National Marine Fisheries Service to estimate the impact of recreational fishing on marine resources.","marine recreational fisheries statistics survey",NA,NA,NA
"463","ASMFC","MRIP","Marine Recreational Information Program","An ongoing recreational data collection and reporting effort that replaces the MRFSS program that began in the 1970s. MRIP was initiated in 2007 by NOAA Fisheries and a broad collection of scientists, managers, fishermen and others with a stake in sustainable, abundant ocean resources (estimates the number, catch, and effort of recreational fishermen).","marine recreational information program",2,"Y","Y"
"464","GMFMC","MRIP","Marine Recreational Information Program","federal program by which NOAA Fisheries collects, analyzes and reports fishery-dependent information, or data gathered from recreational anglers","marine recreational information program",2,"Y","Y"
"465",NA,"MS","Mothership",NA,"mothership",NA,NA,NA
"466","PFMC","MSA","Magnuson-Stevens Act","This act, also known as the ""Magnuson-Stevens Fishery Conservation and Management Act,"" established the 200-mile fishery conservation zone, the regional fishery management council system, and other provisions of U.S. marine fishery law.","magnuson-stevens act",NA,NA,NA
"467","ASMFC","MSC","Management and Science Committee","The principal scientific advisory body of the ASMFC, comprised of representatives from member states, NMFS, and USFWS.","management and science committee",NA,NA,NA
"468",NA,"MSE","Management strategy evaluation",NA,"management strategy evaluation",NA,NA,NA
"469",NA,"MSRA","Magnuson-Stevens Fishery Conservation and Management Reauthorization Act",NA,"magnuson-stevens fishery conservation and management reauthorization act",NA,NA,NA
"470","PFMC","MSST","Minimum stock size threshold","A threshold biomass used to determine if a stock is overfished. The Council proxy for MSST is B25%.","minimum stock size threshold",2,"Y",NA
"471",NA,"MSST","Maximum Stock Size Threshold",NA,"maximum stock size threshold",2,"Y",NA
"472","ASMFC","MSTC","Multispecies Technical Committee","An ASMFC committee tasked with assisting the ISFMP Policy Board on multispecies modeling efforts and facilitating movement towards the use of multispecies model results in management decisions.","multispecies technical committee",NA,NA,NA
"473","ASMFC","MSVPA","Multispecies virtual population analysis","A series of single-species age- structured stock assessment models (VPAs) linked by a simple feeding model and used to calculate natural mortality rates. The goal of the MSVPA is to evaluate fisheries management decisions at the ecosystem level.","multispecies virtual population analysis",NA,NA,NA
"474","ASMFC","MSVPA-X","Expanded multispecies virtual population analysis","An enhanced version of the MSVPA that includes more complex predator-prey interactions and more flexible options for building single-species VPAs.","expanded multispecies virtual population analysis",NA,NA,NA
"475","ASMFC","MSY","Maximum Sustainable Yield","The largest catch that can be taken from a stock over time under existing environmental conditions without curtailing the ability of the stock to replace itself.","maximum sustainable yield",2,"Y","Y"
"476","PFMC","MSY","Maximum sustainable yield","An estimate of the largest average annual catch or yield that can be continuously taken over a long period from a stock under prevailing ecological and environmental conditions. Since MSY is a long-term average, it need not be specified annually, but may be reassessed periodically based on the best scientific information available.","maximum sustainable yield",2,"Y","Y"
"477",NA,"MUS","Management Unit Species",NA,"management unit species",NA,NA,NA
"478",NA,"MW","Megawatt",NA,"megawatt",NA,NA,NA
"479",NA,"Mid-Atlantic Council","Mid-Atlantic Fishery Management Council",NA,"mid-atlantic fishery management council",NA,NA,NA
"480",NA,"NAFO","Northwest Atlantic Fisheries Organization viii",NA,"northwest atlantic fisheries organization viii",NA,NA,NA
"481",NA,"NAO","NOAA Administrative Order",NA,"noaa administrative order",NA,NA,NA
"482",NA,"NBBTA","Northern Bristol Bay Trawl Area",NA,"northern bristol bay trawl area",NA,NA,NA
"483",NA,"NBSRA","Norther Bering Sea Research Area",NA,"norther bering sea research area",NA,NA,NA
"484",NA,"NC","North Carolina",NA,"north carolina",NA,NA,NA
"485",NA,"NCADAC","National Climate Assessment and Development Advisory Committee",NA,"national climate assessment and development advisory committee",NA,NA,NA
"486",NA,"NCDC","National Climatic Data Center",NA,"national climatic data center",NA,NA,NA
"487",NA,"NCDENR","North Carolina Department of Environment and Natural Resources",NA,"north carolina department of environment and natural resources",NA,NA,NA
"488",NA,"NCDMF","North Carolina Division of Marine Fisheries",NA,"north carolina division of marine fisheries",NA,NA,NA
"489",NA,"NCEI","National Centers for Environmental Information, NOAA",NA,"national centers for environmental information, noaa",NA,NA,NA
"490",NA,"NCRMP","National Coral Reef Monitoring Program",NA,"national coral reef monitoring program",NA,NA,NA
"491",NA,"NE","Northeast",NA,"northeast",NA,NA,NA
"492","ASMFC","NEAMAP","Northeast Area Monitoring and Assessment Program","A cooperative state/federal fisheries independent research and data collection program implemented between the Gulf of Maine and Cape Hatteras, NC.","northeast area monitoring and assessment program",NA,NA,NA
"493","ASMFC","NEFMC","New England Fishery Management Council","One of eight regional fishery management councils established by the Magnuson Act that are responsible for management of fisheries in federal waters (3-200 miles from shore).","new england fishery management council",NA,NA,NA
"494","ASMFC","NEFSC","Northeast Fisheries Science Center","NMFS' fisheries research and science arms.","northeast fisheries science center",NA,NA,NA
"495",NA,"NELHA","Natural Energy Laboratory of Hawaii Authority",NA,"natural energy laboratory of hawaii authority",NA,NA,NA
"496","PFMC","NEPA","National Environmental Policy Act","Passed by Congress in 1969, NEPA requires Federal agencies to consider the environment when making decisions regarding their programs. Section 102(2)(C) requires Federal agencies to prepare an Environmental Impact Statement (EIS) before taking major Federal actions that may significantly affect the quality of the human environment. The EIS includes: the environmental impact of the proposed action, any adverse environmental effects which cannot be avoided should the proposed action be implemented, alternatives to the proposed action, the relationship between local short-term uses of the environment and long-term productivity, and any irreversible commitments of resources which would be involved in the proposed action should it be implemented.","national environmental policy act",NA,NA,NA
"497",NA,"NESDIS","National Environmental Satellite, Data, and Information Service",NA,"national environmental satellite, data, and information service",NA,NA,NA
"498","ASMFC","NFWF","National Fish and Wildlife Foundation","One of the world's largest conservation grant-makers, providing funding to support both the public and private sectors to protect and restore the nation's fish, wildlife, plants and habitats.","national fish and wildlife foundation",NA,NA,NA
"499",NA,"NGO","Non-Governmental Organization",NA,"non-governmental organization",NA,NA,NA
"500",NA,"NH","New Hampshire",NA,"new hampshire",NA,NA,NA
"501",NA,"NIDP","Notice of Intent to Deny Permit",NA,"notice of intent to deny permit",NA,NA,NA
"502",NA,"NJ","New Jersey",NA,"new jersey",NA,NA,NA
"503",NA,"NLAA","Not likely to adversely affect",NA,"not likely to adversely affect",NA,NA,NA
"504","ASMFC","NMFS","National Marine Fisheries Service","The service within NOAA dedicated to the stewardship of living marine resources through science-based conservation and management, and the promotion of healthy ecosystems; also known as NOAA Fisheries Service.","national marine fisheries service",2,"Y","Y"
"505","PFMC","NMFS","National Marine Fisheries Service","A division of the U.S. Department of Commerce, National Oceanic and Atmospheric Administration (NOAA). NMFS is responsible for conservation and management of offshore fisheries (and inland salmon). The NMFS Regional Director is a voting member of the Council.","national marine fisheries service",2,"Y","Y"
"506",NA,"NMFS NWFSC","National Marine Fisheries Service Northwest Fisheries Science Center",NA,"national marine fisheries service northwest fisheries science center",NA,NA,NA
"507",NA,"NMFS NWR","National Marine Fisheries Service Northwest Region",NA,"national marine fisheries service northwest region",NA,NA,NA
"508",NA,"NMFS SWR","National Marine Fisheries Service Southwest Region",NA,"national marine fisheries service southwest region",NA,NA,NA
"509",NA,"NMFS WCR","National Marine Fisheries Service West Coast Region",NA,"national marine fisheries service west coast region",NA,NA,NA
"510",NA,"NMS","National Marine Sanctuary",NA,"national marine sanctuary",NA,NA,NA
"511",NA,"NMSA","National Marine Sanctuaries Act",NA,"national marine sanctuaries act",NA,NA,NA
"512",NA,"NMSAS","National Marine Sanctuary of American Samoa",NA,"national marine sanctuary of american samoa",NA,NA,NA
"513",NA,"NMSP","National Marine Sanctuaries Program",NA,"national marine sanctuaries program",NA,NA,NA
"514","PFMC","NOAA","National Oceanic & Atmospheric Administration","The parent agency of National Marine Fisheries Service.","national oceanic & atmospheric administration",2,"Y",NA
"515","ASMFC","NOAA","National Oceanic and Atmospheric Administration","A federal agency within the Department of Commerce focused on the condition of the oceans and the atmosphere.","national oceanic and atmospheric administration",2,"Y",NA
"516",NA,"NOAA GC","NOAA General Counsel",NA,"noaa general counsel",NA,NA,NA
"517",NA,"NOAAS","NOAA ship",NA,"noaa ship",NA,NA,NA
"518",NA,"NOI","Notice of Intent",NA,"notice of intent",NA,NA,NA
"519",NA,"NOPS","Notice Of Permit Sanctions",NA,"notice of permit sanctions",NA,NA,NA
"520",NA,"NOR","net operating revenue",NA,"net operating revenue",NA,NA,NA
"521",NA,"NORPAC","North Pacific Database Program",NA,"north pacific database program",NA,NA,NA
"522",NA,"NOS","National Ocean Service",NA,"national ocean service",NA,NA,NA
"523",NA,"NOVA","Notice Of Violation and Assessment",NA,"notice of violation and assessment",NA,NA,NA
"524",NA,"NPAFC","North Pacific Anadromous Fish Commission",NA,"north pacific anadromous fish commission",NA,NA,NA
"525",NA,"NPCC","Northwest Power and Conservation Council (formerly known as the Northwest Power Planning Council)",NA,"northwest power and conservation council (formerly known as the northwest power planning council)",NA,NA,NA
"526",NA,"NPDES","National Pollutant Discharge Elimination System",NA,"national pollutant discharge elimination system",NA,NA,NA
"527","PFMC","NPFMC","North Pacific Fishery Management Council","The NPFMC consists of the state of Alaska, with representation by Washington and Oregon.","north pacific fishery management council",NA,NA,NA
"528",NA,"NPOA","National Plan of Action",NA,"national plan of action",NA,NA,NA
"529",NA,"NPPSD","North Pacific Pelagic Seabird Database",NA,"north pacific pelagic seabird database",NA,NA,NA
"530",NA,"NRC","National Research Council",NA,"national research council",NA,NA,NA
"531",NA,"NRCC","Northeast Regional Coordinating Council",NA,"northeast regional coordinating council",NA,NA,NA
"532",NA,"NRDC","Natural Resources Defense Council",NA,"natural resources defense council",NA,NA,NA
"533",NA,"NS","National Standard",NA,"national standard",NA,NA,NA
"534",NA,"NSAR","National Saltwater Angler Registry",NA,"national saltwater angler registry",NA,NA,NA
"535",NA,"NSF","National Science Foundation",NA,"national science foundation",NA,NA,NA
"536","PFMC","NSG","National Standard Guidelines","Guidelines issued by National Marine Fisheries Service to provide comprehensive guidance for the development of fishery management plans and amendments that comply with the national standards of the Magnuson-Stevens Act. These guidelines are found in Title 50, Code of Federal Regulations, part 600.","national standard guidelines",NA,NA,NA
"537",NA,"NSRKC","Norton Sound Red King Crab",NA,"norton sound red king crab",NA,NA,NA
"538","PFMC","NWFSC","Northwest Fisheries Science Center","In Seattle; a division of NMFS","northwest fisheries science center",NA,NA,NA
"539","WPFMC","NWHI","Northwestern Hawaiian Islands","All islands in the Hawaiian Archipelago, other than the Main Hawaiian Islands (MHI)","northwestern hawaiian islands",NA,NA,NA
"540",NA,"NWIFC","Northwest Indian Fisheries Commission",NA,"northwest indian fisheries commission",NA,NA,NA
"541",NA,"NWR","National Wildlife Refuge",NA,"national wildlife refuge",2,"Y",NA
"542",NA,"NWR","Northwest Region",NA,"northwest region",2,"Y",NA
"543",NA,"NY","New York",NA,"new york",NA,NA,NA
"544","PFMC","OA","Open-access fishery","The segment of the groundfish fishery or any other fishery for which entry is not controlled by a limited entry permitting program.","open-access fishery",2,"Y",NA
"545",NA,"OA","operational assessment",NA,"operational assessment",2,"Y",NA
"546",NA,"OC-CCI","Ocean Color Climate Change Initiative",NA,"ocean color climate change initiative",NA,NA,NA
"547","ASMFC","OCC","Outer Cape Cod","A management area designated under Amendment 3 to the American Lobster FMP.","outer cape cod",NA,NA,NA
"548",NA,"OCN","Oregon coastal natural (coho)",NA,"oregon coastal natural (coho)",NA,NA,NA
"549",NA,"OCNMS","Olympic Coast National Marine Sanctuary",NA,"olympic coast national marine sanctuary",NA,NA,NA
"550",NA,"OCZMA","Oregon Coast Zone Management Act",NA,"oregon coast zone management act",NA,NA,NA
"551",NA,"ODFW","Oregon Department of Fish and Wildlife",NA,"oregon department of fish and wildlife",NA,NA,NA
"552",NA,"OECA","Oculina Experimental Closed Area",NA,"oculina experimental closed area",NA,NA,NA
"553",NA,"OEG","Optimal escapement goal",NA,"optimal escapement goal",NA,NA,NA
"554",NA,"OEIS","Overseas Environmental Impact Statement",NA,"overseas environmental impact statement",NA,NA,NA
"555","ASMFC","OFL","Overfishing Limit","The estimate of the catch level above which overfishing is occurring.","overfishing limit",NA,NA,NA
"556",NA,"OFP-SPC","Oceanic Fisheries Program of the Secretariat of the Pacific Community",NA,"oceanic fisheries program of the secretariat of the pacific community",NA,NA,NA
"557",NA,"OHAPC","Oculina Habitat Area of Particular Concern",NA,"oculina habitat area of particular concern",NA,NA,NA
"558",NA,"OLE","Office of Law Enforcement",NA,"office of law enforcement",NA,NA,NA
"559",NA,"OMB","Office of Management and Budget",NA,"office of management and budget",NA,NA,NA
"560",NA,"ONI","Oceanic Niño Index",NA,"oceanic niño index",NA,NA,NA
"561",NA,"OR","Oregon",NA,"oregon",NA,NA,NA
"562",NA,"OSP","Optimum sustainable production, Oregon State Police",NA,"optimum sustainable production, oregon state police",NA,NA,NA
"563",NA,"OST","Office of Science and Technology",NA,"office of science and technology",NA,NA,NA
"564",NA,"OSU","Oregon State University",NA,"oregon state university",NA,NA,NA
"565",NA,"OSWAG","Other Shallow-water Grouper",NA,"other shallow-water grouper",NA,NA,NA
"566",NA,"OTEC","Ocean Thermal Energy Conversion",NA,"ocean thermal energy conversion",NA,NA,NA
"567","ASMFC","OY","Optimum Yield","The long-term average amount of desired yield (greatest overall benefit to the nation) from a stock, stock complex, or fishery. Because the population size of fish stock fluctuates every year, the amount of fish that is available to the fishery in any given year may be above or below.","optimum yield",2,"Y","Y"
"568","PFMC","OY","Optimum yield","The amount of fish that will provide the greatest overall benefit to the Nation, particularly with respect to food production and recreational opportunities, and taking into account the protection of marine ecosystems. The OY is developed on the basis of the Maximum Sustained Yield from the fishery, taking into account relevant economic, social, and ecological factors. In the case of overfished fisheries, the OY provides for rebuilding to a level that is consistent with producing the Maximum Sustained Yield for the fishery.","optimum yield",2,"Y","Y"
"569",NA,"Observer Program","North Pacific Groundfish Observer Program",NA,"north pacific groundfish observer program",NA,NA,NA
"570","SAFMC","P*","P-star","Probability of overfishing","p-star",NA,NA,NA
"571",NA,"PBF","Pacific Bluefin Tuna",NA,"pacific bluefin tuna",NA,NA,NA
"572","PFMC","PBR","Potential biological removal","The maximum number of animals, not including natural mortalities, that may be removed from a marine mammal stock while allowing that stock to reach or maintain its optimum sustainable population.","potential biological removal",NA,NA,NA
"573",NA,"PCE","Primary Constituent Element",NA,"primary constituent element",NA,NA,NA
"574",NA,"PCFFA","Pacific Coast Federation of Fishermen's Associations",NA,"pacific coast federation of fishermen's associations",NA,NA,NA
"575","GMFMC","PDF","probability density function","used to generate the P*","probability density function",NA,NA,NA
"576","PFMC","PDO","Pacific decadal oscillation","A long-term, El Nino-like pattern of Pacific Ocean climate variability.","pacific decadal oscillation",NA,NA,NA
"577","ASMFC","PDT","Plan Development Team","group of individuals who are knowledgeable concerning the scientific facts and fishery management issues concerning a designated fish stock and who are appointed and convened by a Management Board to prepare an FMP or amendment and its supporting Source Document.","plan development team",NA,NA,NA
"578",NA,"PEEC","Preview of Economic and Ecological Conditions",NA,"preview of economic and ecological conditions",NA,NA,NA
"579","PFMC","PEIS","Programmatic Environmental Impact Statement","An EIS that applies to an entire program or management regime, rather than a specific action.","programmatic environmental impact statement",NA,NA,NA
"580",NA,"PFMC","Pacific Fishery Management Council",NA,"pacific fishery management council",NA,NA,NA
"581",NA,"PIBKC","Pribilof Island Blue King Crab",NA,"pribilof island blue king crab",NA,NA,NA
"582",NA,"PICTs","Pacific Island Countries and Territories",NA,"pacific island countries and territories",NA,NA,NA
"583","ASMFC","PID","Public Information Document","A document of the ASMFC which contains preliminary discussions of biological, environmental, social, and economic information, fishery issues, and potential management options for a proposed FMP or amendment.","public information document",NA,NA,NA
"584",NA,"PIE rule","Program Improvements and Enhancements rule",NA,"program improvements and enhancements rule",NA,NA,NA
"585",NA,"PIFSC","Pacific Islands Fisheries Science Center",NA,"pacific islands fisheries science center",NA,NA,NA
"586",NA,"PIGKC","Pribilof Island Golden King Crab",NA,"pribilof island golden king crab",NA,NA,NA
"587",NA,"PIHCZ","Pribilof Islands Habitat Conservation Zone",NA,"pribilof islands habitat conservation zone",NA,NA,NA
"588",NA,"PIMS","Permits Information Management Systems",NA,"permits information management systems",NA,NA,NA
"589",NA,"PIRKC","Pribilof Islands Red King Crab",NA,"pribilof islands red king crab",NA,NA,NA
"590",NA,"PIRO","Pacific Islands Regional Office, National Marine Fisheries Service",NA,"pacific islands regional office, national marine fisheries service",NA,NA,NA
"591","PFMC","PMAX",NA,"The estimated probability of reaching TMAX. May not be less than 50%.",NA,NA,NA,NA
"592","WPFMC","PMUS","Pacific Pelagic Management Unit Species","Species managed under the Pelagic FEP","pacific pelagic management unit species",NA,NA,NA
"593",NA,"PNW","Pacific Northwest",NA,"pacific northwest",NA,NA,NA
"594",NA,"POC","point of contact",NA,"point of contact",NA,NA,NA
"595",NA,"POES","Polar Operational Environmental Satellites",NA,"polar operational environmental satellites",NA,NA,NA
"596",NA,"POP","Pacific ocean perch",NA,"pacific ocean perch",NA,NA,NA
"597",NA,"PPA","Preliminary preferred alternative",NA,"preliminary preferred alternative",NA,NA,NA
"598",NA,"PPGFA","Pago Pago Game Fishing Association",NA,"pago pago game fishing association",NA,NA,NA
"599",NA,"PPS","proportional probability sampling",NA,"proportional probability sampling",NA,NA,NA
"600",NA,"PPT","Pelagic Fishery Ecosystem Plan Team",NA,"pelagic fishery ecosystem plan team",NA,NA,NA
"601",NA,"PR","Puerto Rico",NA,"puerto rico",NA,NA,NA
"602",NA,"PRA","Paperwork Reduction Act",NA,"paperwork reduction act",NA,NA,NA
"603",NA,"PRD","Protected Resources Division",NA,"protected resources division",2,"Y",NA
"604",NA,"PRD","Protected Resources Division of Southeast Regional Office",NA,"protected resources division of southeast regional office",2,"Y",NA
"605",NA,"PRDNER","Puerto Rico Department of Natural and Environmental Resources",NA,"puerto rico department of natural and environmental resources",NA,NA,NA
"606","ASMFC","PRFC","Potomac River Fisheries Commission","An interstate compact of the states of Maryland and Virginia charged with coordinating the regulation of the fisheries of the main stem of the tidal Potomac River.","potomac river fisheries commission",NA,NA,NA
"607",NA,"PRIA","Pacific Remote Island Areas",NA,"pacific remote island areas",NA,NA,NA
"608","ASMFC","PRT","Plan Review Team","The portion of a stock caught by a single unit of fishing effort.","plan review team",NA,NA,NA
"609",NA,"PS","producer surplus",NA,"producer surplus",NA,NA,NA
"610",NA,"PSA","productivity-susceptibility analyses",NA,"productivity-susceptibility analyses",NA,NA,NA
"611",NA,"PSC","Pacific Salmon Commission",NA,"pacific salmon commission",2,"Y",NA
"612",NA,"PSC","Prohibited Species Catch",NA,"prohibited species catch",2,"Y",NA
"613",NA,"PSE","Proportional Standard Error",NA,"proportional standard error",NA,NA,NA
"614",NA,"PSEIS","Programmatic Supplemental Environmental Impact Statement",NA,"programmatic supplemental environmental impact statement",NA,NA,NA
"615","PFMC","PSMFC","Pacific States Marine Fisheries Commission","The PSMFC is a non-regulatory agency that serves Alaska, California, Idaho, Oregon and Washington. PSMFC (headquartered in Portland) provides a communication exchange between the Pacific Fishery Management Council and the North Pacific Fishery Management Council, and a mechanism for Federal funding of regional fishery projects. The PSMFC provides information in the form of data services for various fisheries.","pacific states marine fisheries commission",NA,NA,NA
"616","PFMC","PST","Pacific Salmon Treaty","Created in 1985 through cooperative efforts of tribes, state governments, U.S. and Canadian governments, and sport and commercial fishing interests. The Pacific Salmon Commission (PSC) was created to implement the treaty. The PSC establishes fishery and allocation regimes, develops management recommendations and is a forum for working on fishery issues.","pacific salmon treaty",NA,NA,NA
"617",NA,"PT","Plan Team",NA,"plan team",NA,NA,NA
"618",NA,"PWS","Prince William Sound",NA,"prince william sound",NA,NA,NA
"619","PFMC","PacFIN","Pacific Coast Fisheries Information Network","Provides commercial fishery information for Washington, Oregon, and California. Maintained by the Pacific States Marine Fisheries Commission.","pacific coast fisheries information network",NA,NA,NA
"620",NA,"PlanBsmooth","Plan B' model using log-linear regression and Loess smoothing",NA,"plan b' model using log-linear regression and loess smoothing",NA,NA,NA
"621",NA,"PopDy","Population Dynamics Branch of NEFSC",NA,"population dynamics branch of nefsc",NA,NA,NA
"622",NA,"QA/QC","Quality Assurance/Quality Control",NA,"quality assurance/quality control",NA,NA,NA
"623",NA,"QP","Quota pounds",NA,"quota pounds",NA,NA,NA
"624","PFMC","QS","Quota share","A share of the Total Allowable Catch (TAC) allocated to an operating unit such as a vessel, a company or an individual fisherman (individual quota) depending on the system of allocation. Quotas may or may not be transferable, inheritable, and tradable. While generally used to allocate total allowable catch, quotas could be used also to allocate fishing effort or biomass.","quota share",NA,NA,NA
"625",NA,"QUEST","Quantitative Ecology and Socioeconomics Training, NOAA program",NA,"quantitative ecology and socioeconomics training, noaa program",NA,NA,NA
"626","NEFMC","R",NA,"programming environment for statistical processing and presentation",NA,NA,NA,NA
"627",NA,"R/S","recruits-per-spawner",NA,"recruits-per-spawner",NA,NA,NA
"628",NA,"R/V","Research vessel",NA,"research vessel",NA,NA,NA
"629",NA,"RA","Regional Administrator of NMFS",NA,"regional administrator of nmfs",NA,NA,NA
"630",NA,"RCA","Rockfish Conservation Area, riparian conservation area",NA,"rockfish conservation area, riparian conservation area",NA,NA,NA
"631",NA,"REFM","Resource Ecology Fisheries Management",NA,"resource ecology fisheries management",NA,NA,NA
"632",NA,"RER","Recovery Exploitation Rates",NA,"recovery exploitation rates",NA,NA,NA
"633",NA,"RF","Reef Fish",NA,"reef fish",2,"Y",NA
"634",NA,"RF","Rockfish",NA,"rockfish",2,"Y",NA
"635","PFMC","RFA","Regulatory Flexibility Analysis (or Act)","Regulatory Flexibility Act. The Regulatory Flexibility Act (5 U.S.C. 601-612) requires federal agencies to consider the effects of their regulatory actions on small businesses and other small entities and to minimize any undue disproportionate burden.","regulatory flexibility analysis (or act)",NA,NA,NA
"636",NA,"RFAA","Regulatory Flexibility Act Analysis",NA,"regulatory flexibility act analysis",NA,NA,NA
"637",NA,"RFFA","Reasonably foreseeable future action",NA,"reasonably foreseeable future action",NA,NA,NA
"638",NA,"RFMA","Regional Fishery Management Agreements",NA,"regional fishery management agreements",NA,NA,NA
"639",NA,"RFMO","Regional Fishery Management Organization",NA,"regional fishery management organization",NA,NA,NA
"640","ASMFC","RHL","Recreational harvest limit","A measure that sets an upper limit for annual recreational harvest for species that are jointly managed by the ASMFC and Regional Management Councils.","recreational harvest limit",NA,NA,NA
"641",NA,"RI","Rhode Island",NA,"rhode island",NA,NA,NA
"642",NA,"RI DFW","Rhode Island Department of Fish and Wildlife",NA,"rhode island department of fish and wildlife",NA,NA,NA
"643",NA,"RIMPAC","Rim of the Pacific",NA,"rim of the pacific",NA,NA,NA
"644","PFMC","RIR","Regulatory Impact Review","RIRs are prepared to determine whether a proposed regulatory action is ""major."" The RIR examines alternative management measures and their economic impacts.","regulatory impact review",NA,NA,NA
"645",NA,"RKC","Red King Crab",NA,"red king crab",NA,NA,NA
"646",NA,"ROA","Range of alternatives",NA,"range of alternatives",NA,NA,NA
"647",NA,"ROD","Record of Decision",NA,"record of decision",NA,NA,NA
"648",NA,"ROFR","Right of First Refusal",NA,"right of first refusal",NA,NA,NA
"649","PFMC","ROV","Remotely operated vehicle","E.g., a submarine","remotely operated vehicle",NA,NA,NA
"650",NA,"RPA","Reasonable and prudent alternative",NA,"reasonable and prudent alternative",NA,NA,NA
"651",NA,"RPB","Regional Planning Body",NA,"regional planning body",NA,NA,NA
"652",NA,"RPM","reasonable and prudent measures",NA,"reasonable and prudent measures",NA,NA,NA
"653",NA,"RQ","regional quotient",NA,"regional quotient",NA,NA,NA
"654",NA,"RQE","Recreational Quota Entity",NA,"recreational quota entity",NA,NA,NA
"655",NA,"RSW","Refrigerated seawater",NA,"refrigerated seawater",NA,NA,NA
"656",NA,"RTA","Research Track Assessment",NA,"research track assessment",NA,NA,NA
"657","GMFMC","RVC","Reef Visual Census","Fishery independent study that collects data on both juvenile and adult life stages","reef visual census",NA,NA,NA
"658","PFMC","RecFin","Recreational Fishery Information Network","A database managed by the Pacific States Marine Fisheries Commission that provides recreational fishery information for Washington, Oregon, and California.","recreational fishery information network",NA,NA,NA
"659","PFMC","S-K","Saltonstall-Kennedy Act","The Saltonstall-Kennedy Act allocates 30% of the duties for imported fishery products to technological, biological, marketing, and other research and services in order to promote the free flow of domestically-produced fishery products and to develop markets for domestic fishery products.","saltonstall-kennedy act",NA,NA,NA
"660","ASMFC","S-R","Stock-recruitment curve","A classic discrete population model which gives the expected number of individuals in generation (e.g., recruitment) as a function of the number of individuals in the previous generation (e.g., spawning stock biomass.","stock-recruitment curve",NA,NA,NA
"661",NA,"SA","Spawning Abundance",NA,"spawning abundance",2,"Y",NA
"662",NA,"SA","Subarea as specified by NAFO",NA,"subarea as specified by nafo",2,"Y",NA
"663",NA,"SADL","South Atlantic Deepwater Longline Survey",NA,"south atlantic deepwater longline survey",NA,NA,NA
"664","PFMC","SAFE","Stock Assessment and Fishery Evaluation","A SAFE document is a document prepared by the Council that provides a summary of the most recent biological condition of species in the fishery management unit, and the social and economic condition of the recreational and commercial fishing industries, including the fish processing sector. It summarizes, on a periodic basis, the best available information concerning the past, present, and possible future condition of the stocks and fisheries managed in the FMP.","stock assessment and fishery evaluation",NA,NA,NA
"665",NA,"SAFIS","Standard Atlantic Fisheries Information System",NA,"standard atlantic fisheries information system",NA,NA,NA
"666","ASMFC","SAFMC","South Atlantic Fishery Management Council","One of eight regional fishery management councils established by the Magnuson Act that are responsible for management of fisheries in federal waters (3-200 miles from shore).","south atlantic fishery management council",NA,NA,NA
"667",NA,"SAMSY","Spawning Abundance at MSY",NA,"spawning abundance at msy",NA,NA,NA
"668",NA,"SAP","Stock Assessment Panel",NA,"stock assessment panel",NA,NA,NA
"669",NA,"SAR","Stock Assessment Report",NA,"stock assessment report",NA,NA,NA
"670",NA,"SAS","Salmon Advisory Subpanel",NA,"salmon advisory subpanel",2,"Y",NA
"671",NA,"SAS","Statistical Analysis Software application viii",NA,"statistical analysis software application viii",2,"Y",NA
"672","ASMFC","SASC","Stock Assessment Subcommittee","A group of persons who are expert in stock assessment methodologies and scientific/technical matters relating to a specific fish stock. The SASC is jointly appointed by the ASC and the species technical committee, with membership consisting of a combination of SAC members and technical committee members. The Subcommittee is responsible for conducting the species assessment and reports directly to the species technical committee.","stock assessment subcommittee",NA,NA,NA
