"","Acronym","Meaning","Definition"
"726","STJ","St. Johns, U.S. Virgin Islands",NA
"727","STT","Salmon Technical Team",NA
"728","STT","St. Thomas, U.S. Virgin Islands",NA
"729","STX","St. Croix, U.S. Virgin Islands",NA
"730","SUNY","State University of New York",NA
"731","SURVEYMEANS","SAS procedure for estimating characteristics of a survey population using statistics computed from a survey sample",NA
"732","SW","Southwest",NA
"733","SWAC","Seawater Air Conditioning",NA
"734","SWFSC","Southwest Fisheries Science Center (NMFS)",NA
"735","SWG","shallow-water grouper","complex of grouper species managed in the Gulf of Mexico by the Gulf Council and NOAA Fisheries. Includes red grouper, black grouper, gag, scamp, yellowfin grouper, yellowmouth grouper, rock hind and red hind"
"736","SWG","Spatial Working Group",NA
"737","SWO","Swordfish",NA
"738","SWR","Southwest Region",NA
"739","Secretary","U.S. Secretary of Commerce",NA
"740","SoVI","social vulnerability index","14 indices that measure a coastal community's ability to respond to social, economic and environmental conditions, a useful tool for policy makers, fishery managers and interested stakeholders"
"741","TA","Total Alkalinity",NA
"742","TAC","Total Allowable Catch","The annual recommended catch by a management authority to preserve or rebuild a stock."
"743","TAC","total allowable catch","a catch limit set for a specific fishery within a set period of time, usually a year or a fishing season"
"744","TAC","Total allowable catch","The total regulated catch from a stock in a given time period, usually a year. (NMFS)"
"745","TAL","Total Allowable Landings","The annual recommended catch by a management authority to preserve or rebuild a stock."
"746","TC","Technical Committee","A group of persons who are expert in the scientific and technical matters relating to a specific fish stock and who are appointed and convened by a Management Board to provide scientific and technical advice in the process of developing and monitoring FMPs and amendments."
"747","TED","turtle excluder device","a specialized device, often used in the shrimp fishery, applied to trawl nets that allows a captured sea turtle to escape when caught."
"748","TIP","Trip Interview Program","data collected by port samplers from commercial fishermen, includes length, weight, number of fish landed, gear used and trip identifiers such as date and location"
"749","TK","Traditional Knowledge",NA
"750","TL","total length","the maximum length from mouth to tail. For example, when measuring a fish, thetotal length extends from the front of the snout with the mouth closed to the end of the longest portionof the tail fin. Some agencies compress or squeeze the tail to get this measurement."
"751","TLA","Trawl Limited Access",NA
"752","TLAS","Trawl Limited Access Sector",NA
"753","TLR","trip limit reduction","a reduction in the number or pounds of a species that can be harvested per trip"
"754","TMAX",NA,"The maximum time period to rebuild an overfished stock, according to National Standard Guidelines. Depends on biological, environmental, and legal/policy factors."
"755","TMCT","Technical Monitoring and Compliance Team",NA
"756","TMIN",NA,"The minimum time period to rebuild an overfished stock, according to National Standard Guidelines. Technically, this is the minimum amount of time in which a fish stock will have a 50% chance of rebuilding if no fishing occurs (depends on biological and environmental factors)."
"757","TNC","The Nature Conservancy",NA
"758","TOR","Terms of Reference","a list of terms that define certain aspects of a project: what has to be achieved, how and when it will be achieved and who will take part to ensure project completion"
"759","TPWD","Texas Parks and Wildlife Department","state agency that oversees and works to conserve Texas wildlife and their habitats as well as state parks, historical areas and aquatic resources."
"760","TRAC","Transboundary Resource Assessment Committee","The percent of a fish population removed by fishing over the course of a year."
"761","TRP","target reference point","a type of biological reference point, desired status of the fishery"
"762","TTARGET",NA,"The target year, set by policy, for a fish stock to be completely rebuilt."
"763","TWG","topical working group","an interdisciplinary group made of up individuals with expertise that is relevant to a certain topic"
"764","TZCF","Transition Zone Chlorophyll Front",NA
"765","TnS/TNS","Tails n' Scales","Mississippi's mandatory red snapper electronic reporting program. Voluntary reporting for other reef fish species is available"
"766","Total catch OY","Total catch optimum yield","The landed catch plus discard mortality."
"767","U.S.","United States of America",NA
"768","U.S. Caribbean","U.S. Caribbean","Caribbean islands of Puerto Rico, St. Thomas, St. John, and St. Croix"
"769","U/A","Usual and accustomed","Usually used when referring to tribal fishing, hunting or gathering areas."
"770","URI","Graduate School of Oceanography",NA
"771","US","United States",NA
"772","USACE","United States Army Corps of Engineers",NA
"773","USAF","United States Air Force",NA
"774","USCG","U.S. Coast Guard","A representative of the USCG is a non-voting member of the Council."
"775","USFS","U.S. Forest Service",NA
"776","USFWS","United States Fish and Wildlife Service",NA
"777","USGS","U.S. Geological Survey",NA
"778","USVI","U.S. Virgin Islands","group of Caribbean Islands consisting of the main islands of St. Croix, St. John and St. Thomas"
"779","V-A","Vietnamese-American",NA
"780","VA","Virginia",NA
"781","VEC","valued environmental component","the fundamental elements that comprise the physical, biological or socio-economic environment including air, water, vegetation, and wildlife, among other components that may be affected by a proposed project."
"782","VIDPNR","Virgin Islands Department of Planning and Natural Resources","department mandated to protect, manage and maintain the natural and cultural resources of the Virgin Islands through economic development and inter-agency collaboration."
"783","VMS","vessel monitoring system","a general term used for equipment that is used to track a vessel's geographic position through a satellite communication system."
"784","VMS","Vessel Monitoring System","A satellite communications system used to monitor fishing activities. For example, to ensure that vessels stay out of prohibited areas. The system is based on electronic devices (transceivers), which are installed on board vessels. These devices automatically send data to shore-based ""satellite"" monitoring system."
"785","VOC","volatile organic compound","compounds that have a high vapor pressure and are not very soluble in water. They are emitted as gases from certain solids and liquids."
"786","VPA","Virtual Population Analysis","A method of estimating stock size through examination of the sizes, growth, and mortality rates of individual age groups and using that information to ""back calculate"" the virtual populations that must have existed previously to produce the catches currently observed in a fishery."
"787","VPA","virtual population analysis","simulation to reconstruct a population by taking a year class (a group of fish born in the same year) using the number of fish caught each year from a year class and the mortality rate for the size of that year class"
"788","VT","Vermont",NA
"789","VTR","Vessel Trip Report",NA
"790","W","West",NA
"791","WA","Washington",NA
"792","WCNPO","Western and Central North Pacific Ocean",NA
"793","WCP","West Coast Pelagic Conservation Group",NA
"794","WCPFC","Western and Central Pacific Fisheries Commission",NA
"795","WCPFCA","Western and Central Pacific Fisheries Commission Convention Area",NA
"796","WCPO","Western and Central Pacific Ocean",NA
"797","WCSPA","West Coast Seafood Processors Association",NA
"798","WCVI","West Coast Vancouver Island",NA
"799","WDFW","Washington Department of Fish and Wildlife","A representative of WDFW sits on the Council."
"800","WETS","Wave Energy Test Site",NA
"801","WFOA","Western Fishboat Owners Association",NA
"802","WGOA","Western Gulf of Alaska",NA
"803","WHAM","Woods Hole Assessment Model",NA
"804","WHOI","Woods Hole Oceanographic Institute, MA",NA
"805","WPFMC","Western Pacific Regional Fishery Management Council",NA
"806","WPUE","Weight per Unit Effort",NA
"807","WPacFIN","Western Pacific Fishery Information Network, NMFS",NA
"808","WSEP","Weapon Systems Evaluation Program",NA
"809","XBT","Expendable Bathythermographs",NA
"810","YFS","Yellowfin sole",NA
"811","YPR","Yield per recruit","The expected yield in weight for a single fish or year class over the life of the fish or year class."
"812","YoY","young of the year or age",NA
"813","Z","Total Mortality","The instantaneous rate at which fish die from both natural and fishing related causes. Z = F + M."
"814","cfs","Cubic feet per second","A measure of running water in a stream or river."
"815","cm","Centimeter",NA
"816","gw","gutted weight",NA
"817","kg","kilogram",NA
"818","kg/tow","kilograms per tow",NA
"819","lbs","pounds",NA
"820","m","Meter(s)",NA
"821","mm","Millimeter",NA
"822","mp","million pounds",NA
"823","mt","Metric ton","1000 kilos or 2,204.62 pounds. (A ""short ton"" is 2000 lbs.)"
"824","mt","metric tons","unit of weight often used with commercial fisheries data, equal to 1,000 kg or approximately 2,204.6 pounds"
"825","nm","nautical mile",NA
"826","ppm","Parts per Million",NA
"827","ppt","parts per thousand",NA
"828","q","catchability coefficient",NA
"829","rkm","River-kilometer",NA
"830","ww","whole weight",NA
